Format Version,1.21,Take Name,Take 2018-02-26 05.52.09 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-02-26 05.52.09.022 PM,Total Frames in Take,9941,Total Exported Frames,9941,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,brazo,brazo,brazo,brazo,brazo,brazo,brazo,espalda,espalda,espalda,espalda,espalda,espalda,espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,MarkerSet:referencia,MarkerSet:referencia,MarkerSet:referencia,Rigid Body 3:Marker1,Rigid Body 3:Marker1,Rigid Body 3:Marker1,Rigid Body 3:Marker3,Rigid Body 3:Marker3,Rigid Body 3:Marker3,Rigid Body 3:Marker2,Rigid Body 3:Marker2,Rigid Body 3:Marker2
,,"FC05FBB11B1311E85D0998737888968D","FC05FBB11B1311E85D0998737888968D","FC05FBB11B1311E85D0998737888968D","FC05FBB11B1311E85D0998737888968D","FC05FBB11B1311E85D0998737888968D","FC05FBB11B1311E85D0998737888968D","FC05FBB11B1311E85D0998737888968D","55A026F61B1511E85D0998737888968D","55A026F61B1511E85D0998737888968D","55A026F61B1511E85D0998737888968D","55A026F61B1511E85D0998737888968D","55A026F61B1511E85D0998737888968D","55A026F61B1511E85D0998737888968D","55A026F61B1511E85D0998737888968D","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000","8392B20CF49E3573400000001","8392B20CF49E3573400000001","8392B20CF49E3573400000001","8392B20CF49E3573400000003","8392B20CF49E3573400000003","8392B20CF49E3573400000003","8392B20CF49E3573400000002","8392B20CF49E3573400000002","8392B20CF49E3573400000002"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-178.574646,-25.815142,-5.493651,39.619274,926.547852,52.689205,1.996872,,,,,,,,49.235359,923.525757,55.840523,31.472878,983.493835,63.221416,38.149567,872.623840,39.005703,-82.660599,1144.118652,77.871803,-250.280228,929.598328,243.350800,-257.392822,790.167053,240.168686,-252.280563,829.067261,239.006393
1,0.008333,-178.574661,-25.762098,-5.478327,39.628216,926.524231,52.787682,1.999972,,,,,,,,49.240601,923.500000,55.948185,31.487160,983.473633,63.305775,38.156864,872.598999,39.109104,-82.645927,1144.118164,77.920380,-250.292236,929.595703,243.359543,-257.399719,790.164490,240.177750,-252.281662,829.058533,239.016739
2,0.016667,-178.582306,-25.744656,-5.469496,39.637787,926.504761,52.885262,1.999701,,,,,,,,49.248775,923.479797,56.049267,31.501904,983.457520,63.389488,38.162655,872.577087,39.217052,-82.641701,1144.106445,77.958862,-250.316345,929.590149,243.377060,-257.408508,790.159119,240.193039,-252.284973,829.046143,239.025650
3,0.025000,-178.577652,-25.684605,-5.457911,39.645992,926.486633,52.979256,1.995758,,,,,,,,49.253048,923.459656,56.153309,31.511005,983.441101,63.474617,38.173904,872.559143,39.309868,-82.634239,1144.096558,77.995438,-250.329132,929.593323,243.377655,-257.414551,790.159241,240.208420,-252.288788,829.042297,239.043472
4,0.033333,-178.584137,-25.676502,-5.448787,39.658348,926.465271,53.062859,2.000535,,,,,,,,49.264519,923.437500,56.238785,31.530291,983.422852,63.546726,38.180218,872.535522,39.403091,-82.625175,1144.083252,78.019615,-250.341766,929.586792,243.382126,-257.420166,790.138611,240.208862,-252.290878,829.037170,239.050842
5,0.041667,-178.591705,-25.645647,-5.445698,39.669434,926.446960,53.145836,1.998094,,,,,,,,49.273712,923.419067,56.327393,31.539268,983.406738,63.616486,38.195301,872.515137,39.493656,-82.620674,1144.080811,78.057152,-250.355392,929.586609,243.380249,-257.423309,790.133484,240.234100,-252.302200,829.033447,239.057724
