Format Version,1.21,Take Name,Take 2018-02-27 04.56.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-02-27 04.56.08.879 PM,Total Frames in Take,8413,Total Exported Frames,8413,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,brazo,brazo,brazo,brazo,brazo,brazo,brazo,espalda,espalda,espalda,espalda,espalda,espalda,espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:referencia,MarkerSet:referencia,MarkerSet:referencia
,,"A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","8392B20CF49E3573700000001","8392B20CF49E3573700000001","8392B20CF49E3573700000001","8392B20CF49E3573700000002","8392B20CF49E3573700000002","8392B20CF49E3573700000002","8392B20CF49E3573700000003","8392B20CF49E3573700000003","8392B20CF49E3573700000003","8392B20CF49E3573800000001","8392B20CF49E3573800000001","8392B20CF49E3573800000001","8392B20CF49E3573800000002","8392B20CF49E3573800000002","8392B20CF49E3573800000002","8392B20CF49E3573800000003","8392B20CF49E3573800000003","8392B20CF49E3573800000003","8392B20CF49E35717C915B400000000","8392B20CF49E35717C915B400000000","8392B20CF49E35717C915B400000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.820376,-12.845154,13.902929,98.361824,960.789307,103.587631,1.691788,-0.530560,-16.353622,2.444355,-183.506165,837.373596,307.844940,2.600682,109.595535,960.079712,104.284348,70.414215,1003.006592,100.757721,115.113876,919.830505,105.619217,-186.299026,906.432617,309.138123,-182.246780,835.214722,304.983887,-181.900711,770.812744,309.525757,-43.380138,1165.471191,163.422806
1,0.008333,-0.846690,-12.810623,13.891994,98.373703,960.787781,103.559898,1.702248,-0.531514,-16.418985,2.441095,-183.498642,837.378479,307.819122,2.600682,109.599449,960.074890,104.246376,70.436440,1003.007263,100.732010,115.125381,919.838440,105.595924,-186.294403,906.440979,309.108612,-182.234253,835.216003,304.959747,-181.895462,770.817871,309.501862,-43.355087,1165.449707,163.352020
2,0.016667,-0.875389,-12.798802,13.898818,98.367584,960.789063,103.523819,1.700666,-0.523560,-16.647602,2.431913,-183.500320,837.388367,307.794189,2.600682,109.590729,960.076172,104.208923,70.422478,1003.011353,100.679466,115.129379,919.848511,105.573296,-186.293457,906.447876,309.086945,-182.232681,835.221008,304.932739,-181.903244,770.836365,309.476135,-43.348118,1165.456177,163.293350
3,0.025000,-0.900844,-12.756143,13.888276,98.383453,960.786987,103.500641,1.691220,-0.533971,-16.596500,2.437374,-183.496170,837.389343,307.763916,2.600682,109.610558,960.070313,104.180092,70.436882,1003.019836,100.657249,115.140060,919.840332,105.555748,-186.294250,906.454712,309.049194,-182.221054,835.226074,304.900024,-181.901428,770.826111,309.455322,-43.368866,1165.471680,163.247101
4,0.033333,-0.891320,-12.786819,13.888680,98.391609,960.779175,103.469856,1.697979,-0.529338,-16.723330,2.439409,-183.498657,837.396729,307.740540,2.600682,109.610771,960.059082,104.151154,70.451202,1003.009888,100.624245,115.154724,919.837463,105.528030,-186.305054,906.460266,309.022156,-182.224716,835.234741,304.881592,-181.894684,770.834229,309.430756,-43.363380,1165.457397,163.180099
5,0.041667,-0.896402,-12.784198,13.902946,98.404602,960.771057,103.443832,1.687768,-0.534691,-16.632105,2.439122,-183.494629,837.398132,307.714478,2.600682,109.630486,960.056030,104.129196,70.451675,1002.998596,100.589699,115.174690,919.823669,105.509125,-186.296646,906.459717,308.993805,-182.218277,835.233337,304.853729,-181.897141,770.840515,309.408813,-43.362576,1165.454834,163.136566
