Format Version,1.21,Take Name,Take 2018-02-27 04.49.16 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-02-27 04.49.16.690 PM,Total Frames in Take,10035,Total Exported Frames,10035,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Espalda,Espalda,Espalda,Espalda,Espalda,Espalda,Espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:Referencia,MarkerSet:Referencia,MarkerSet:Referencia
,,"4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-3.434019,-3.157152,-4.989243,-309.556610,914.919250,-12.100128,0.526708,3.835099,6.683105,0.436297,-118.203201,833.290100,269.578400,1.045731,-318.234955,852.425964,-14.841683,-306.866821,973.464355,2.255261,-303.555176,918.780334,-23.520351,,,,-120.817421,829.085938,268.107880,-120.876671,761.569153,265.740326,-241.451508,1143.761475,87.056656
1,0.008333,-3.430204,-3.180140,-5.002748,-309.608521,914.964722,-12.106634,0.532929,3.829952,6.758673,0.454232,-118.197891,833.315857,269.559998,1.045731,-318.299103,852.472290,-14.857041,-306.910919,973.505615,2.252012,-303.604980,918.831360,-23.517014,,,,-120.814529,829.113708,268.091156,-120.845795,761.592712,265.730408,-241.478363,1143.783203,87.087097
2,0.016667,-3.421676,-3.163841,-5.005900,-309.665131,915.004333,-12.104365,0.530325,3.835046,6.771517,0.455219,-118.172737,833.338379,269.543549,1.045731,-318.361145,852.516113,-14.860856,-306.961731,973.540039,2.266377,-303.660706,918.867126,-23.523212,,,,-120.788635,829.134888,268.075653,-120.820198,761.615967,265.707672,-241.507751,1143.810669,87.100525
3,0.025000,-3.416025,-3.198565,-5.015974,-309.718414,915.041199,-12.091388,0.525286,3.827791,6.800968,0.477803,-118.176216,833.348511,269.518280,1.045731,-318.421844,852.555664,-14.858824,-307.017242,973.576050,2.290577,-303.701050,918.899170,-23.515701,,,,-120.791229,829.145935,268.051178,-120.794594,761.623596,265.689972,-241.535950,1143.841919,87.130066
4,0.033333,-3.415254,-3.215887,-5.020059,-309.768341,915.072632,-12.074887,0.531030,3.824521,6.771783,0.486818,-118.150970,833.367249,269.500092,1.045731,-318.475677,852.590576,-14.843846,-307.070007,973.597717,2.313256,-303.743317,918.931458,-23.502081,,,,-120.761902,829.167114,268.031921,-120.761635,761.638184,265.673065,-241.582916,1143.866577,87.151985
5,0.041667,-3.409160,-3.207292,-5.023627,-309.822876,915.097229,-12.055151,0.524710,3.817709,6.782921,0.498632,-118.140526,833.375427,269.475159,1.045731,-318.535065,852.614563,-14.829134,-307.118713,973.626038,2.340049,-303.795135,918.953308,-23.489683,,,,-120.751289,829.173096,268.008148,-120.735764,761.646606,265.655304,-241.625137,1143.877075,87.175552
