Format Version,1.21,Take Name,Take 2018-02-27 04.58.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-02-27 04.58.08.568 PM,Total Frames in Take,7928,Total Exported Frames,7928,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,brazo,brazo,brazo,brazo,brazo,brazo,brazo,espalda,espalda,espalda,espalda,espalda,espalda,espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:referencia,MarkerSet:referencia,MarkerSet:referencia
,,"F362D78C1BD611E85D0998737888968D","F362D78C1BD611E85D0998737888968D","F362D78C1BD611E85D0998737888968D","F362D78C1BD611E85D0998737888968D","F362D78C1BD611E85D0998737888968D","F362D78C1BD611E85D0998737888968D","F362D78C1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","F362D78D1BD611E85D0998737888968D","8392B20CF49E3573900000001","8392B20CF49E3573900000001","8392B20CF49E3573900000001","8392B20CF49E3573900000002","8392B20CF49E3573900000002","8392B20CF49E3573900000002","8392B20CF49E3573900000003","8392B20CF49E3573900000003","8392B20CF49E3573900000003","8392B20CF49E3573A00000001","8392B20CF49E3573A00000001","8392B20CF49E3573A00000001","8392B20CF49E3573A00000002","8392B20CF49E3573A00000002","8392B20CF49E3573A00000002","8392B20CF49E3573A00000003","8392B20CF49E3573A00000003","8392B20CF49E3573A00000003","8392B20CF49E357129341B3200000000","8392B20CF49E357129341B3200000000","8392B20CF49E357129341B3200000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.109353,-4.199644,2.145507,-13.934087,943.351257,-18.003273,0.172845,-1.830223,-23.432058,-1.477023,-174.557404,831.709045,317.150696,2.288568,-6.195484,938.791931,-24.489216,-11.938546,990.479736,1.944193,-23.590254,900.785156,-31.411777,-176.107468,827.737549,315.306488,-166.614441,901.190735,321.404510,-180.407944,764.612793,315.022766,-17.664404,1153.601563,131.127319
1,0.008333,-1.004316,-3.588672,2.381217,-13.967788,943.352478,-18.002033,0.285794,-1.825038,-23.384949,-1.467872,-174.548996,831.708374,317.159973,2.292067,-6.022811,939.035645,-24.813683,-11.937442,990.435364,1.982548,-23.627670,900.741394,-31.380966,-176.100159,827.735291,315.316559,-166.599121,901.172668,321.417725,-180.396500,764.600952,315.029480,-17.648161,1153.568604,131.141296
2,0.016667,-1.002758,-3.568687,2.377192,-13.984169,943.303650,-17.965948,0.284432,-1.829736,-23.462955,-1.472255,-174.537796,831.698486,317.171143,2.297712,-6.051600,938.989746,-24.777592,-11.941415,990.385254,2.018507,-23.646255,900.696960,-31.342148,-176.084106,827.722717,315.328064,-166.596436,901.161804,321.432251,-180.383499,764.597534,315.037628,-17.622484,1153.524780,131.144150
3,0.025000,-0.987133,-3.468902,2.406701,-13.998820,943.252075,-17.936653,0.289845,-1.785613,-23.148748,-1.443004,-174.539734,831.684814,317.185730,2.297503,-6.070375,938.943054,-24.740637,-11.943322,990.328979,2.051271,-23.667334,900.645447,-31.310234,-176.095398,827.709656,315.349274,-166.590607,901.148499,321.440674,-180.378494,764.583984,315.046326,-17.605061,1153.484009,131.168716
4,0.033333,-1.007619,-3.559243,2.357699,-14.008061,943.204834,-17.893917,0.288140,-1.795318,-23.297033,-1.453531,-174.529541,831.669922,317.200378,2.298462,-6.086707,938.888306,-24.701744,-11.942093,990.288269,2.088358,-23.686523,900.596313,-31.268984,-176.079697,827.694519,315.361359,-166.592514,901.138916,321.465790,-180.367203,764.575134,315.054626,-17.594179,1153.454346,131.191681
5,0.041667,-0.999462,-3.536876,2.348624,-14.024373,943.160889,-17.864697,0.293198,-1.805882,-23.333895,-1.449477,-174.528229,831.678650,317.214020,2.304869,-6.105185,938.858459,-24.677307,-11.944253,990.234070,2.122389,-23.711115,900.559631,-31.240561,-176.074631,827.699280,315.376556,-166.591431,901.126770,321.475159,-180.363632,764.571960,315.070618,-17.568403,1153.414795,131.205002
