      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9
           1          16          52      14.467      867.68    0.751191    0.029701   -0.659375   -0.007414     0.97672     0.01837    -0.12833        1.59        1.85        1.48        1.56        1.37        1.13        2.02        1.74        1.46        1.86
           2          16          52      14.591      872.28    0.758781    0.008218   -0.650310   -0.035794     0.98877    -0.04459    -0.15775        1.59        1.85        1.48        1.56        1.36        1.13        2.02        1.75        1.46        1.86
           3          16          52      14.603      872.30    0.758726    0.008188   -0.650380   -0.035682     0.98877    -0.04410    -0.15872        1.59        1.85        1.48        1.55        1.36        1.13        2.02        1.74        1.46        1.86
           4          16          52      14.608      872.31    0.758740    0.008111   -0.650364   -0.035685     0.98672    -0.04388    -0.15820        1.59        1.85        1.48        1.55        1.37        1.13        2.02        1.75        1.46        1.86
           5          16          52      14.613      872.32    0.758748    0.008042   -0.650357   -0.035676     0.98450    -0.04391    -0.15686        1.59        1.85        1.48        1.55        1.36        1.13        2.02        1.75        1.46        1.86
           6          16          52      14.623      872.33    0.758762    0.007983   -0.650342   -0.035670     0.98425    -0.04489    -0.15726        1.59        1.85        1.48        1.55        1.36        1.13        2.02        1.75        1.46        1.86
           7          16          52      14.628      872.34    0.758775    0.007942   -0.650328   -0.035662     0.98538    -0.04651    -0.15601        1.59        1.85        1.48        1.56        1.36        1.13        2.02        1.75        1.46        1.86
           8          16          52      14.632      872.35    0.758534    0.008171   -0.650591   -0.035942     0.98624    -0.04843    -0.15558        1.59        1.85        1.48        1.56        1.37        1.13        2.02        1.74        1.46        1.86
           9          16          52      14.641      872.36    0.758540    0.008134   -0.650584   -0.035926     0.98593    -0.04831    -0.15811        1.59        1.85        1.48        1.56        1.36        1.13        2.02        1.75        1.46        1.86
          10          16          52      14.645      872.37    0.758538    0.008098   -0.650587   -0.035917     0.98514    -0.05060    -0.15680        1.59        1.85        1.48        1.55        1.37        1.13        2.02        1.75        1.46        1.86
          11          16          52      14.662      872.38    0.758541    0.008081   -0.650585   -0.035912     0.98459    -0.04932    -0.15607        1.59        1.85        1.48        1.55        1.36        1.13        2.02        1.75        1.46        1.86
          12          16          52      14.669      872.39    0.758539    0.008067   -0.650587   -0.035923     0.98608    -0.04846    -0.15665        1.59        1.85        1.48        1.55        1.37        1.13        2.02        1.75        1.46        1.86
          13          16          52      14.673      872.40    0.758368    0.008289   -0.650783   -0.035932     0.98593    -0.04868    -0.15692        1.59        1.85        1.48        1.56        1.36        1.13        2.02        1.75        1.46        1.86
          14          16          52      14.681      872.41    0.758367    0.008291   -0.650783   -0.035938     0.98474    -0.04614    -0.15677        1.59        1.85        1.48        1.56        1.36        1.13        2.02        1.75        1.46        1.86
          15          16          52      14.688      872.42    0.758368    0.008305   -0.650782   -0.035951     0.98721    -0.04639    -0.15677        1.59        1.85        1.48        1.56        1.36        1.13        2.02        1.75        1.46        1.86
