      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9
           1          16          49      15.936      688.16    0.611081    0.412891   -0.486614   -0.468303     0.97894     0.03781    -0.18982        1.58        1.87        1.47        1.52        1.35        1.13        2.01        1.75        1.45        1.87
           2          16          49      16.069      693.75    0.609183    0.415541   -0.489930   -0.464963     0.97186     0.02737    -0.18536        1.59        1.87        1.46        1.52        1.35        1.13        2.01        1.76        1.45        1.86
           3          16          49      16.076      693.77    0.609115    0.415543   -0.490151   -0.464817     0.97250     0.02557    -0.18292        1.59        1.86        1.46        1.52        1.35        1.13        2.01        1.75        1.45        1.87
           4          16          49      16.080      693.78    0.609092    0.415550   -0.490252   -0.464734     0.97580     0.02444    -0.18597        1.59        1.86        1.47        1.52        1.35        1.13        2.01        1.76        1.45        1.86
           5          16          49      16.090      693.79    0.609065    0.415554   -0.490356   -0.464657     0.98303     0.02390    -0.18933        1.58        1.86        1.47        1.52        1.36        1.13        2.02        1.75        1.45        1.86
           6          16          49      16.095      693.80    0.609061    0.415405   -0.490454   -0.464692     0.98785     0.02383    -0.19354        1.59        1.86        1.47        1.51        1.36        1.13        2.02        1.75        1.45        1.86
           7          16          49      16.099      693.81    0.609013    0.415428   -0.490523   -0.464662     0.98868     0.02313    -0.19644        1.58        1.86        1.46        1.52        1.36        1.13        2.01        1.76        1.45        1.86
           8          16          49      16.109      693.82    0.608949    0.415466   -0.490555   -0.464677     0.98663     0.02338    -0.19293        1.58        1.86        1.47        1.52        1.35        1.13        2.01        1.75        1.45        1.86
           9          16          49      16.114      693.83    0.608874    0.415522   -0.490548   -0.464733     0.98380     0.02402    -0.18958        1.58        1.86        1.47        1.52        1.36        1.13        2.01        1.76        1.45        1.86
          10          16          49      16.119      693.84    0.608781    0.415582   -0.490504   -0.464847     0.98312     0.02640    -0.18826        1.58        1.86        1.47        1.52        1.35        1.13        2.01        1.75        1.45        1.86
          11          16          49      16.140      693.85    0.608716    0.415579   -0.490452   -0.464989     0.98373     0.03058    -0.18726        1.58        1.86        1.47        1.51        1.35        1.14        2.02        1.76        1.45        1.86
          12          16          49      16.148      693.86    0.608651    0.415591   -0.490405   -0.465115     0.98346     0.03104    -0.18674        1.58        1.86        1.46        1.52        1.35        1.13        2.02        1.76        1.45        1.86
          13          16          49      16.154      693.87    0.608603    0.415578   -0.490367   -0.465229     0.98611     0.03174    -0.18845        1.59        1.86        1.47        1.52        1.36        1.13        2.02        1.75        1.45        1.86
          14          16          49      16.162      693.88    0.608554    0.415561   -0.490315   -0.465363     0.98761     0.03265    -0.19016        1.58        1.86        1.47        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          15          16          49      16.170      693.89    0.608500    0.415553   -0.490243   -0.465516     0.98898     0.03561    -0.18915        1.59        1.86        1.46        1.52        1.36        1.13        2.01        1.75        1.45        1.86
          16          16          49      16.179      693.90    0.608503    0.415538   -0.490136   -0.465638     0.98892     0.03970    -0.18860        1.58        1.86        1.46        1.52        1.36        1.13        2.01        1.76        1.45        1.86
          17          16          49      16.185      693.91    0.608458    0.415546   -0.490028   -0.465804     0.99005     0.04129    -0.18616        1.58        1.86        1.47        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          18          16          49      16.192      693.92    0.608413    0.415576   -0.489905   -0.465964     0.98795     0.04294    -0.18442        1.58        1.86        1.46        1.52        1.36        1.13        2.01        1.75        1.45        1.87
          19          16          49      16.203      693.93    0.608375    0.415618   -0.489770   -0.466119     0.98584     0.04459    -0.18188        1.59        1.86        1.46        1.51        1.36        1.13        2.01        1.76        1.45        1.86
          20          16          49      16.208      693.94    0.608344    0.415679   -0.489624   -0.466258     0.98407     0.04251    -0.18002        1.58        1.86        1.47        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          21          16          49      16.211      693.95    0.608278    0.415831   -0.489491   -0.466349     0.98218     0.03998    -0.17676        1.58        1.86        1.47        1.51        1.35        1.13        2.01        1.76        1.45        1.86
          22          16          49      16.220      693.96    0.608221    0.415925   -0.489364   -0.466473     0.98264     0.04041    -0.17505        1.59        1.86        1.46        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          23          16          49      16.226      693.97    0.608160    0.416029   -0.489252   -0.466577     0.98032     0.04062    -0.17456        1.59        1.86        1.47        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          24          16          49      16.230      693.98    0.608094    0.416134   -0.489147   -0.466679     0.98245     0.04092    -0.17633        1.59        1.86        1.46        1.52        1.36        1.13        2.01        1.76        1.45        1.86
          25          16          49      16.239      693.99    0.608030    0.416243   -0.489047   -0.466770     0.98172     0.04321    -0.17630        1.58        1.86        1.46        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          26          16          49      16.244      694.00    0.607970    0.416463   -0.488949   -0.466755     0.98068     0.04358    -0.17603        1.59        1.87        1.46        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          27          16          49      16.248      694.01    0.607910    0.416576   -0.488875   -0.466809     0.97977     0.04388    -0.17709        1.58        1.86        1.46        1.52        1.35        1.13        2.02        1.76        1.45        1.86
          28          16          49      16.258      694.02    0.607867    0.416659   -0.488811   -0.466859     0.98209     0.04266    -0.17783        1.59        1.86        1.46        1.52        1.36        1.13        2.01        1.76        1.45        1.86
          29          16          49      16.265      694.03    0.607824    0.416740   -0.488758   -0.466898     0.98349     0.04056    -0.17697        1.58        1.86        1.46        1.51        1.35        1.13        2.01        1.76        1.45        1.86
          30          16          49      16.270      694.04    0.607778    0.416819   -0.488705   -0.466942     0.98685     0.03918    -0.17667        1.58        1.86        1.46        1.51        1.36        1.13        2.01        1.75        1.45        1.86
          31          16          49      16.278      694.05    0.607611    0.416996   -0.488683   -0.467025     0.98721     0.03491    -0.17798        1.59        1.86        1.46        1.52        1.36        1.13        2.01        1.76        1.45        1.86
          32          16          49      16.284      694.06    0.607572    0.417062   -0.488617   -0.467086     0.98746     0.03549    -0.17966        1.59        1.86        1.46        1.52        1.35        1.13        2.01        1.76        1.45        1.86
          33          16          49      16.289      694.07    0.607524    0.417131   -0.488550   -0.467156     0.98703     0.03494    -0.18137        1.59        1.86        1.47        1.52        1.35        1.13        2.02        1.76        1.45        1.86
          34          16          49      16.299      694.08    0.607467    0.417194   -0.488490   -0.467236     0.98624     0.03726    -0.18298        1.58        1.86        1.46        1.52        1.35        1.13        2.01        1.75        1.45        1.86
          35          16          49      16.303      694.09    0.607420    0.417237   -0.488426   -0.467327     0.98917     0.03964    -0.18466        1.58        1.86        1.47        1.52        1.35        1.13        2.02        1.75        1.45        1.86
          36          16          49      16.308      694.10    0.607440    0.417276   -0.488350   -0.467346     0.98715     0.04062    -0.18314        1.58        1.86        1.47        1.52        1.35        1.13        2.01        1.76        1.45        1.86
