      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9
           1          16          56       7.941     1102.13    0.811661    0.050641   -0.575346    0.087283     0.93069     0.19247    -0.32889        1.56        1.82        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           2          16          56       8.057     1105.73    0.813340    0.025153   -0.574312    0.089508     0.93958     0.13132    -0.34122        1.56        1.82        1.52        1.50        1.39        1.12        1.98        1.82        1.46        1.85
           3          16          56       8.065     1105.75    0.813322    0.025569   -0.574325    0.089467     0.93933     0.13629    -0.34238        1.56        1.82        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           4          16          56       8.075     1105.76    0.813351    0.025721   -0.574282    0.089432     0.93695     0.13779    -0.33939        1.56        1.83        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           5          16          56       8.080     1105.77    0.813383    0.025863   -0.574232    0.089429     0.93600     0.14014    -0.34042        1.56        1.82        1.53        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           6          16          56       8.087     1105.78    0.813415    0.025979   -0.574179    0.089440     0.93393     0.14267    -0.33893        1.56        1.83        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           7          16          56       8.093     1105.79    0.813454    0.026069   -0.574115    0.089470     0.93030     0.14172    -0.33804        1.56        1.82        1.53        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           8          16          56       8.097     1105.80    0.813379    0.026311   -0.574174    0.089705     0.92914     0.14200    -0.33777        1.57        1.83        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
           9          16          56       8.107     1105.81    0.813412    0.026362   -0.574120    0.089733     0.92731     0.14078    -0.33984        1.57        1.82        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
          10          16          56       8.113     1105.82    0.813453    0.026413   -0.574057    0.089747     0.92648     0.14093    -0.34244        1.57        1.83        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
          11          16          56       8.127     1105.83    0.813504    0.026476   -0.573982    0.089747     0.92581     0.14050    -0.34082        1.57        1.83        1.53        1.51        1.39        1.12        1.98        1.82        1.46        1.85
          12          16          56       8.133     1105.84    0.813565    0.026550   -0.573893    0.089740     0.92682     0.13934    -0.33984        1.56        1.83        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
          13          16          56       8.137     1105.85    0.813546    0.026746   -0.573902    0.089806     0.92865     0.14069    -0.33978        1.57        1.82        1.53        1.51        1.39        1.13        1.98        1.82        1.46        1.85
          14          16          56       8.147     1105.86    0.813632    0.026792   -0.573781    0.089781     0.92917     0.14218    -0.34119        1.56        1.82        1.52        1.51        1.39        1.12        1.98        1.82        1.46        1.85
          15          16          56       8.154     1105.87    0.813727    0.026823   -0.573648    0.089756     0.93185     0.13971    -0.34274        1.57        1.82        1.52        1.51        1.39        1.12        1.98        1.81        1.46        1.85
          16          16          56       8.159     1105.88    0.813820    0.026832   -0.573521    0.089724     0.93478     0.13956    -0.34253        1.57        1.82        1.52        1.51        1.39        1.13        1.98        1.82        1.46        1.85
          17          16          56       8.167     1105.89    0.813914    0.026817   -0.573395    0.089687     0.93546     0.13812    -0.34338        1.57        1.82        1.53        1.52        1.39        1.13        1.98        1.82        1.46        1.85
          18          16          56       8.173     1105.90    0.813935    0.026880   -0.573365    0.089671     0.93756     0.14008    -0.34329        1.57        1.83        1.53        1.52        1.39        1.13        1.98        1.82        1.46        1.85
          19          16          56       8.176     1105.91    0.814011    0.026860   -0.573268    0.089603     0.93945     0.13992    -0.34421        1.57        1.82        1.52        1.51        1.39        1.13        1.98        1.82        1.46        1.85
          20          16          56       8.189     1105.92    0.814090    0.026859   -0.573166    0.089541     0.93646     0.14130    -0.34439        1.57        1.82        1.52        1.51        1.39        1.13        1.98        1.82        1.46        1.85
          21          16          56       8.194     1105.93    0.814178    0.026852   -0.573046    0.089504     0.93210     0.14291    -0.34470        1.57        1.83        1.53        1.52        1.39        1.13        1.98        1.82        1.46        1.85
          22          16          56       8.198     1105.94    0.814267    0.026852   -0.572923    0.089486     0.92984     0.14331    -0.34366        1.57        1.83        1.53        1.52        1.39        1.13        1.98        1.82        1.46        1.85
          23          16          56       8.207     1105.95    0.814291    0.026971   -0.572862    0.089621     0.92853     0.14218    -0.34232        1.57        1.83        1.53        1.51        1.39        1.13        1.98        1.82        1.46        1.85
          24          16          56       8.212     1105.96    0.814400    0.026953   -0.572707    0.089627     0.92719     0.14093    -0.34357        1.57        1.83        1.53        1.51        1.39        1.13        1.98        1.82        1.46        1.85
