      Sample        Hour      Minute         Sec       Stamp       Quat1       Quat2       Quat3       Quat4        AccX        AccY        AccZ          A0          A1          A2          A3          A4          A5          A6          A7          A8          A9
           1          16          58       7.415     1220.56    0.700554    0.059206   -0.648352   -0.292161     0.94861    -0.30737    -0.16037        1.62        1.82        1.57        1.68        1.36        1.15        1.99        1.82        1.46        1.85
           2          16          58       7.548     1225.22    0.717304    0.041182   -0.638757   -0.275261     0.92905    -0.29230    -0.17963        1.61        1.82        1.56        1.68        1.36        1.15        1.99        1.82        1.46        1.85
           3          16          58       7.555     1225.24    0.717213    0.041065   -0.638892   -0.275201     0.93207    -0.30066    -0.17798        1.62        1.82        1.57        1.68        1.37        1.15        1.99        1.82        1.46        1.85
           4          16          58       7.568     1225.26    0.716916    0.041164   -0.639199   -0.275248     0.93930    -0.30383    -0.18094        1.61        1.82        1.57        1.67        1.36        1.15        1.99        1.82        1.46        1.85
           5          16          58       7.573     1225.27    0.716834    0.041164   -0.639291   -0.275247     0.94092    -0.30167    -0.18188        1.61        1.82        1.57        1.67        1.37        1.15        1.99        1.82        1.46        1.85
           6          16          58       7.577     1225.28    0.716758    0.041165   -0.639370   -0.275262     0.94299    -0.29608    -0.18182        1.61        1.82        1.57        1.68        1.37        1.15        1.99        1.82        1.46        1.85
           7          16          58       7.583     1225.29    0.716700    0.041144   -0.639430   -0.275277     0.94333    -0.29263    -0.18332        1.61        1.82        1.57        1.67        1.36        1.15        1.99        1.82        1.46        1.85
           8          16          58       7.590     1225.30    0.716699    0.041248   -0.639530   -0.275033     0.94199    -0.29230    -0.18341        1.62        1.82        1.57        1.67        1.36        1.15        1.99        1.82        1.46        1.85
           9          16          58       7.595     1225.31    0.716663    0.041183   -0.639577   -0.275026     0.94232    -0.29437    -0.18237        1.62        1.82        1.57        1.67        1.36        1.15        1.99        1.82        1.45        1.85
          10          16          58       7.600     1225.32    0.716642    0.041096   -0.639619   -0.274997     0.94217    -0.29849    -0.18253        1.61        1.82        1.57        1.68        1.37        1.15        1.99        1.82        1.45        1.85
          11          16          58       7.617     1225.33    0.716638    0.041019   -0.639646   -0.274957     0.94388    -0.29874    -0.18002        1.61        1.82        1.57        1.68        1.37        1.14        1.99        1.82        1.46        1.85
          12          16          58       7.622     1225.34    0.716632    0.040946   -0.639674   -0.274919     0.94440    -0.29813    -0.17871        1.62        1.82        1.56        1.67        1.36        1.15        1.99        1.82        1.45        1.85
          13          16          58       7.629     1225.35    0.716448    0.041299   -0.639980   -0.274632     0.94229    -0.29761    -0.17865        1.62        1.82        1.57        1.67        1.36        1.15        1.99        1.82        1.46        1.85
          14          16          58       7.635     1225.36    0.716462    0.041240   -0.639980   -0.274602     0.94052    -0.29828    -0.17734        1.61        1.82        1.57        1.68        1.36        1.15        1.99        1.82        1.46        1.85
          15          16          58       7.640     1225.37    0.716477    0.041172   -0.639981   -0.274574     0.93820    -0.29633    -0.17764        1.62        1.82        1.56        1.68        1.37        1.15        1.99        1.82        1.46        1.85
          16          16          58       7.647     1225.38    0.716496    0.041102   -0.639971   -0.274555     0.93835    -0.29837    -0.17477        1.61        1.82        1.56        1.67        1.37        1.15        1.99        1.82        1.45        1.85
          17          16          58       7.655     1225.39    0.716526    0.041029   -0.639952   -0.274532     0.93692    -0.29596    -0.17654        1.62        1.82        1.56        1.68        1.37        1.15        1.99        1.82        1.45        1.85
          18          16          58       7.659     1225.40    0.716459    0.041155   -0.640080   -0.274390     0.93628    -0.29837    -0.17743        1.61        1.82        1.57        1.68        1.37        1.15        1.99        1.82        1.46        1.85
          19          16          58       7.669     1225.41    0.716483    0.041076   -0.640073   -0.274357     0.93701    -0.29813    -0.17862        1.61        1.82        1.57        1.68        1.36        1.15        1.99        1.82        1.45        1.85
          20          16          58       7.676     1225.42    0.716508    0.041001   -0.640061   -0.274330     0.93924    -0.29922    -0.17740        1.62        1.82        1.57        1.68        1.37        1.15        1.99        1.82        1.46        1.85
          21          16          58       7.688     1225.43    0.716533    0.040939   -0.640055   -0.274289     0.93735    -0.29947    -0.18073        1.61        1.82        1.56        1.67        1.37        1.15        1.99        1.82        1.46        1.85
          22          16          58       7.695     1225.44    0.716574    0.040863   -0.640036   -0.274237     0.93558    -0.30118    -0.17908        1.61        1.82        1.57        1.67        1.37        1.15        1.99        1.82        1.46        1.85
