Q1,Q2,Q3,Q4,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
0.983626,-0.124455,-0.128225,0.023457,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983676,-0.124313,-0.127951,0.023594,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983733,-0.12504,-0.12691,0.022987,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983808,-0.12455,-0.126769,0.023206,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983755,-0.124547,-0.127036,0.02398,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983691,-0.124717,-0.127344,0.024126,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.82
0.983631,-0.125232,-0.127308,0.024061,1.54,2.08,1.52,1.71,1.5,1.14,2.29,1.8,1.51,1.81
0.983657,-0.125444,-0.126975,0.023679,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983751,-0.125006,-0.126712,0.023501,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.98371,-0.125156,-0.126886,0.023471,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983602,-0.125282,-0.127636,0.023243,1.54,2.08,1.52,1.7,1.51,1.14,2.29,1.8,1.51,1.81
0.983655,-0.124828,-0.127664,0.023276,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983653,-0.124505,-0.127966,0.023461,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983617,-0.124592,-0.128164,0.023425,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983618,-0.124345,-0.128404,0.023354,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983629,-0.124078,-0.128605,0.023243,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983633,-0.123888,-0.12879,0.023053,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.82
0.983659,-0.123699,-0.128796,0.022913,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983669,-0.123413,-0.129003,0.022872,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983639,-0.12335,-0.129366,0.022444,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983632,-0.123351,-0.129457,0.022198,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983654,-0.123154,-0.129515,0.022008,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.81,1.51,1.81
0.983655,-0.123076,-0.129606,0.021866,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983716,-0.122856,-0.129374,0.021716,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983766,-0.122693,-0.129141,0.021745,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.81,1.51,1.81
0.983804,-0.122537,-0.129007,0.0217,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983852,-0.122373,-0.12879,0.021745,1.54,2.08,1.53,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983913,-0.122012,-0.128641,0.021885,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983906,-0.122078,-0.128611,0.022047,1.54,2.08,1.52,1.7,1.5,1.14,2.29,1.8,1.51,1.81
0.983918,-0.121973,-0.128611,0.022094,1.54,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.983951,-0.121831,-0.128494,0.022086,1.54,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.983915,-0.122077,-0.128544,0.022034,1.54,2.08,1.53,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.983932,-0.12203,-0.128473,0.021955,1.55,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.983918,-0.122051,-0.128586,0.021783,1.55,2.08,1.52,1.7,1.5,1.13,2.3,1.8,1.51,1.81
0.983866,-0.12226,-0.128843,0.02143,1.55,2.08,1.53,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.983852,-0.122552,-0.128796,0.020695,1.55,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.98392,-0.122654,-0.128428,0.019094,1.55,2.08,1.52,1.7,1.5,1.14,2.3,1.8,1.51,1.81
0.984006,-0.122916,-0.127897,0.016327,1.55,2.08,1.52,1.71,1.49,1.14,2.3,1.8,1.51,1.81
0.984029,-0.123747,-0.127332,0.012661,1.55,2.08,1.52,1.7,1.49,1.14,2.3,1.81,1.51,1.81
0.98405,-0.125125,-0.126234,0.007382,1.55,2.08,1.52,1.7,1.49,1.14,2.3,1.8,1.51,1.81
0.983844,-0.127058,-0.126098,-0.002632,1.55,2.08,1.51,1.7,1.48,1.14,2.3,1.81,1.52,1.81
0.983652,-0.127883,-0.126447,-0.009253,1.56,2.08,1.51,1.7,1.48,1.14,2.3,1.8,1.52,1.81
0.983053,-0.129979,-0.127519,-0.021249,1.56,2.08,1.51,1.7,1.47,1.14,2.3,1.8,1.52,1.81
0.982432,-0.131366,-0.129152,-0.029842,1.56,2.08,1.51,1.7,1.47,1.14,2.3,1.81,1.52,1.8
0.981452,-0.132257,-0.131972,-0.042924,1.56,2.08,1.51,1.69,1.46,1.13,2.3,1.81,1.52,1.8
0.980526,-0.132679,-0.134585,-0.053398,1.56,2.08,1.51,1.69,1.45,1.14,2.3,1.8,1.52,1.8
0.979084,-0.133993,-0.138158,-0.065969,1.55,2.08,1.5,1.69,1.44,1.13,2.3,1.8,1.52,1.8
0.977458,-0.135885,-0.141956,-0.077202,1.55,2.08,1.5,1.69,1.43,1.13,2.3,1.8,1.52,1.79
0.975386,-0.138827,-0.146238,-0.089236,1.56,2.08,1.49,1.69,1.41,1.13,2.3,1.8,1.52,1.79
0.973058,-0.139993,-0.151074,-0.103618,1.55,2.08,1.49,1.69,1.39,1.13,2.3,1.8,1.52,1.78
0.971362,-0.140846,-0.154161,-0.113371,1.55,2.08,1.48,1.69,1.38,1.13,2.3,1.8,1.52,1.78
0.968101,-0.143429,-0.15938,-0.129643,1.55,2.08,1.48,1.69,1.36,1.13,2.3,1.8,1.52,1.77
0.966136,-0.145171,-0.161964,-0.138833,1.55,2.08,1.48,1.68,1.34,1.13,2.3,1.8,1.52,1.77
0.962994,-0.14818,-0.165831,-0.152266,1.55,2.09,1.47,1.68,1.32,1.13,2.3,1.8,1.52,1.76
0.959961,-0.151178,-0.169856,-0.163614,1.55,2.09,1.47,1.68,1.3,1.13,2.3,1.8,1.52,1.76
0.956688,-0.154642,-0.1741,-0.174708,1.55,2.09,1.46,1.68,1.28,1.12,2.3,1.8,1.52,1.75
0.952649,-0.157673,-0.179679,-0.187923,1.55,2.09,1.46,1.68,1.27,1.13,2.31,1.8,1.52,1.74
0.950141,-0.159129,-0.183223,-0.195806,1.54,2.09,1.45,1.67,1.25,1.12,2.31,1.79,1.52,1.74
0.946348,-0.160622,-0.188963,-0.207168,1.54,2.09,1.44,1.67,1.24,1.12,2.31,1.79,1.52,1.73
0.941832,-0.163708,-0.195321,-0.219095,1.54,2.1,1.44,1.67,1.22,1.12,2.31,1.79,1.52,1.73
0.93732,-0.166367,-0.201363,-0.230665,1.53,2.1,1.43,1.67,1.21,1.12,2.31,1.79,1.52,1.72
0.934253,-0.167645,-0.205492,-0.23841,1.53,2.1,1.43,1.67,1.2,1.12,2.31,1.79,1.52,1.72
0.930228,-0.17021,-0.210052,-0.248159,1.53,2.1,1.42,1.67,1.19,1.11,2.31,1.79,1.52,1.72
0.926501,-0.17201,-0.213907,-0.257397,1.53,2.1,1.42,1.67,1.18,1.11,2.31,1.78,1.53,1.72
0.921867,-0.174335,-0.218704,-0.268212,1.52,2.1,1.42,1.67,1.17,1.11,2.31,1.78,1.53,1.71
0.917584,-0.176207,-0.223351,-0.277678,1.52,2.1,1.41,1.67,1.16,1.11,2.31,1.78,1.52,1.71
0.912845,-0.178674,-0.228614,-0.287273,1.51,2.1,1.41,1.66,1.16,1.1,2.31,1.78,1.53,1.7
0.906669,-0.18085,-0.234787,-0.300199,1.51,2.1,1.41,1.66,1.15,1.1,2.31,1.78,1.52,1.7
0.903063,-0.181356,-0.238334,-0.30787,1.5,2.11,1.4,1.66,1.14,1.1,2.31,1.78,1.52,1.7
0.896485,-0.182611,-0.243732,-0.32181,1.5,2.11,1.4,1.65,1.13,1.1,2.31,1.78,1.53,1.7
0.894381,-0.183083,-0.245459,-0.326056,1.5,2.11,1.4,1.66,1.13,1.1,2.31,1.78,1.53,1.7
0.887337,-0.184292,-0.251156,-0.339985,1.49,2.11,1.39,1.65,1.12,1.09,2.31,1.78,1.53,1.7
0.882423,-0.184853,-0.254887,-0.349558,1.49,2.11,1.39,1.65,1.12,1.09,2.31,1.78,1.53,1.7
0.876537,-0.185327,-0.259641,-0.360449,1.48,2.11,1.39,1.65,1.11,1.09,2.31,1.77,1.53,1.7
0.870943,-0.186223,-0.263679,-0.370478,1.48,2.11,1.39,1.65,1.11,1.09,2.31,1.77,1.53,1.69
0.867474,-0.18599,-0.265733,-0.377204,1.47,2.11,1.39,1.65,1.11,1.09,2.31,1.77,1.53,1.69
0.863173,-0.18616,-0.268229,-0.385137,1.47,2.11,1.39,1.65,1.1,1.09,2.31,1.78,1.53,1.69
0.858784,-0.1867,-0.270548,-0.392984,1.47,2.11,1.38,1.65,1.1,1.09,2.31,1.78,1.53,1.69
0.853695,-0.187032,-0.272777,-0.402265,1.46,2.12,1.38,1.65,1.1,1.08,2.31,1.77,1.52,1.69
0.84888,-0.186925,-0.274712,-0.41109,1.47,2.11,1.38,1.65,1.1,1.08,2.3,1.78,1.53,1.69
